figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/tomato_fatigue.png,Tomato,Fatigue,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,9,7,0.0859375,0.859375,-0.688889,-1,-1,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,7,7.5,0.375,1,0.464286,0.714286,1,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,6,10,1,1,0.047619,0.166667,0,"C1,C2,C3,C4,C5"
figures/tomato_fatigue.png,Tomato,Fatigue,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,6,5,0.34375,1,-0.52381,-0.666667,-1,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,11,10,0.0419922,0.419922,0.69697,0.530304,0.33334,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C1 vs C3,C1,C3,yes,*,Wilcoxon signed-rank exact,12,10,0,0.00195312,0.0195312,1,0.383333,0.33333,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C1 vs C4,C1,C4,yes,*,Wilcoxon signed-rank exact,12,9,0,0.00390625,0.0390625,1,0.537039,0.33334,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C1 vs C5,C1,C5,yes,*,Wilcoxon signed-rank exact,12,12,3.5,0.00292969,0.0292969,0.910256,0.402779,0.333335,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,11,21.5,0.333984,1,-0.348485,-0.181819,-0.16667,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,9,17.5,0.589844,1,-0.222222,-0.11111,-0.16667,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,12,30,0.518066,1,-0.230769,-0.0833325,-0.25,"C1,C2,C3,C4,C5"
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,9,17,0.582031,1,0.244444,0.111113,-0.16666,"C1,C2,C3,C4,C5"
