global_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed_mode,max_step
73,wastesorting,02,0.8,oracle,0.0,random,50
74,wastesorting,02,0.8,oracle,0.0,random,50
75,wastesorting,02,0.8,oracle,0.0,random,50
76,wastesorting,02,0.8,oracle,0.0,random,50
77,wastesorting,02,0.8,oracle,0.0,random,50
78,wastesorting,02,0.8,oracle,0.0,random,50
79,wastesorting,02,0.8,oracle,0.0,random,50
80,wastesorting,02,0.8,oracle,0.0,random,50
81,wastesorting,03,0.8,oracle,0.0,random,50
82,wastesorting,03,0.8,oracle,0.0,random,50
83,wastesorting,03,0.8,oracle,0.0,random,50
84,wastesorting,03,0.8,oracle,0.0,random,50
85,wastesorting,03,0.8,oracle,0.0,random,50
86,wastesorting,03,0.8,oracle,0.0,random,50
87,wastesorting,03,0.8,oracle,0.0,random,50
88,wastesorting,03,0.8,oracle,0.0,random,50
89,wastesorting,03,0.8,oracle,0.0,random,50
90,wastesorting,03,0.8,oracle,0.0,random,50
91,wastesorting,03,0.8,oracle,0.0,random,50
92,wastesorting,03,0.8,oracle,0.0,random,50
93,wastesorting,03,0.8,oracle,0.0,random,50
94,wastesorting,03,0.8,oracle,0.0,random,50
95,wastesorting,03,0.8,oracle,0.0,random,50
96,wastesorting,03,0.8,oracle,0.0,random,50
97,wastesorting,03,0.8,oracle,0.0,random,50
98,wastesorting,03,0.8,oracle,0.0,random,50
99,wastesorting,03,0.8,oracle,0.0,random,50
100,wastesorting,03,0.8,oracle,0.0,random,50
101,wastesorting,03,0.8,oracle,0.0,random,50
102,wastesorting,03,0.8,oracle,0.0,random,50
103,wastesorting,03,0.8,oracle,0.0,random,50
104,wastesorting,03,0.8,oracle,0.0,random,50
105,wastesorting,03,0.8,oracle,0.0,random,50
106,wastesorting,03,0.8,oracle,0.0,random,50
107,wastesorting,03,0.8,oracle,0.0,random,50
108,wastesorting,03,0.8,oracle,0.0,random,50
109,wastesorting,03,0.8,oracle,0.0,random,50
110,wastesorting,03,0.8,oracle,0.0,random,50
111,wastesorting,03,0.8,oracle,0.0,random,50
112,wastesorting,03,0.8,oracle,0.0,random,50
113,wastesorting,03,0.8,oracle,0.0,random,50
114,wastesorting,03,0.8,oracle,0.0,random,50
115,wastesorting,03,0.8,oracle,0.0,random,50
116,wastesorting,03,0.8,oracle,0.0,random,50
117,wastesorting,03,0.8,oracle,0.0,random,50
118,wastesorting,03,0.8,oracle,0.0,random,50
119,wastesorting,03,0.8,oracle,0.0,random,50
120,wastesorting,03,0.8,oracle,0.0,random,50
121,wastesorting,04,0.8,oracle,0.0,random,50
122,wastesorting,04,0.8,oracle,0.0,random,50
123,wastesorting,04,0.8,oracle,0.0,random,50
124,wastesorting,04,0.8,oracle,0.0,random,50
125,wastesorting,04,0.8,oracle,0.0,random,50
126,wastesorting,04,0.8,oracle,0.0,random,50
127,wastesorting,04,0.8,oracle,0.0,random,50
128,wastesorting,04,0.8,oracle,0.0,random,50
129,wastesorting,04,0.8,oracle,0.0,random,50
130,wastesorting,04,0.8,oracle,0.0,random,50
131,wastesorting,04,0.8,oracle,0.0,random,50
132,wastesorting,04,0.8,oracle,0.0,random,50
133,wastesorting,04,0.8,oracle,0.0,random,50
134,wastesorting,04,0.8,oracle,0.0,random,50
135,wastesorting,04,0.8,oracle,0.0,random,50
136,wastesorting,04,0.8,oracle,0.0,random,50
137,wastesorting,04,0.8,oracle,0.0,random,50
138,wastesorting,04,0.8,oracle,0.0,random,50
139,wastesorting,04,0.8,oracle,0.0,random,50
140,wastesorting,04,0.8,oracle,0.0,random,50
141,wastesorting,04,0.8,oracle,0.0,random,50
142,wastesorting,04,0.8,oracle,0.0,random,50
143,wastesorting,04,0.8,oracle,0.0,random,50
144,wastesorting,04,0.8,oracle,0.0,random,50
145,wastesorting,04,0.8,oracle,0.0,random,50
146,wastesorting,04,0.8,oracle,0.0,random,50
147,wastesorting,04,0.8,oracle,0.0,random,50
148,wastesorting,04,0.8,oracle,0.0,random,50
149,wastesorting,04,0.8,oracle,0.0,random,50
150,wastesorting,04,0.8,oracle,0.0,random,50
151,wastesorting,04,0.8,oracle,0.0,random,50
152,wastesorting,04,0.8,oracle,0.0,random,50
153,wastesorting,04,0.8,oracle,0.0,random,50
154,wastesorting,04,0.8,oracle,0.0,random,50
155,wastesorting,04,0.8,oracle,0.0,random,50
156,wastesorting,04,0.8,oracle,0.0,random,50
157,wastesorting,04,0.8,oracle,0.0,random,50
158,wastesorting,04,0.8,oracle,0.0,random,50
159,wastesorting,04,0.8,oracle,0.0,random,50
160,wastesorting,04,0.8,oracle,0.0,random,50
161,wastesorting,05,0.8,oracle,0.0,random,50
162,wastesorting,05,0.8,oracle,0.0,random,50
163,wastesorting,05,0.8,oracle,0.0,random,50
164,wastesorting,05,0.8,oracle,0.0,random,50
165,wastesorting,05,0.8,oracle,0.0,random,50
166,wastesorting,05,0.8,oracle,0.0,random,50
167,wastesorting,05,0.8,oracle,0.0,random,50
168,wastesorting,05,0.8,oracle,0.0,random,50
169,wastesorting,05,0.8,oracle,0.0,random,50
170,wastesorting,05,0.8,oracle,0.0,random,50
171,wastesorting,05,0.8,oracle,0.0,random,50
172,wastesorting,05,0.8,oracle,0.0,random,50
173,wastesorting,05,0.8,oracle,0.0,random,50
174,wastesorting,05,0.8,oracle,0.0,random,50
175,wastesorting,05,0.8,oracle,0.0,random,50
176,wastesorting,05,0.8,oracle,0.0,random,50
177,wastesorting,05,0.8,oracle,0.0,random,50
178,wastesorting,05,0.8,oracle,0.0,random,50
179,wastesorting,05,0.8,oracle,0.0,random,50
180,wastesorting,05,0.8,oracle,0.0,random,50
181,wastesorting,05,0.8,oracle,0.0,random,50
182,wastesorting,05,0.8,oracle,0.0,random,50
183,wastesorting,05,0.8,oracle,0.0,random,50
184,wastesorting,05,0.8,oracle,0.0,random,50
185,wastesorting,05,0.8,oracle,0.0,random,50
186,wastesorting,05,0.8,oracle,0.0,random,50
187,wastesorting,05,0.8,oracle,0.0,random,50
188,wastesorting,05,0.8,oracle,0.0,random,50
