domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162503.txt,2026-06-16 16:25:03,gpt-4o,v2,3419655018,0.92,False,Dead-end: true paper waste waste1 was placed into general bin.,3,3,0,3,0,0,5.0,0.0,1.0,0.0,4.028078508010367,2352,728,3080
wastesorting,scene_04,scripts/baseline/logs/waste/scene_04/knowno_wastesorting_20260616_162511.txt,2026-06-16 16:25:11,gpt-4o,v2,3652057484,0.92,True,success,12,12,5,7,0,0,5.0,5.0,1.4166666666666667,2.0,30.653384441000526,9522,3021,12543
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155242.txt,2026-06-16 15:52:42,gpt-4o,v2,2514905978,0.92,False,Dead-end: true paper waste waste2 was placed into plastic bin.,5,5,3,2,0,0,5.0,5.0,1.6,2.0,18.572903014006442,3921,1214,5135
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155306.txt,2026-06-16 15:53:06,gpt-4o,v2,2995612137,0.92,False,Dead-end: true paper waste waste2 was placed into general bin.,5,5,2,3,0,0,5.0,5.0,1.4,2.0,18.490286643005675,3927,1219,5146
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155327.txt,2026-06-16 15:53:27,gpt-4o,v2,2352776884,0.92,False,Dead-end: true paper waste waste1 was placed into can bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.018296921000001,2351,728,3079
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155340.txt,2026-06-16 15:53:40,gpt-4o,v2,4252951969,0.92,False,Dead-end: true paper waste waste1 was placed into general bin.,3,3,2,1,0,0,5.0,5.0,1.6666666666666667,2.0,10.841790657999809,2352,728,3080
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155355.txt,2026-06-16 15:53:55,gpt-4o,v2,2322036499,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,24.744629029999487,7887,2473,10360
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155425.txt,2026-06-16 15:54:25,gpt-4o,v2,2049638699,0.92,False,Dead-end: true can waste waste3 was placed into general bin.,9,9,4,5,0,0,5.0,5.0,1.4444444444444444,2.0,29.30392524600029,7074,2200,9274
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155500.txt,2026-06-16 15:55:00,gpt-4o,v2,2052725803,0.92,False,Dead-end: true paper waste waste1 was placed into can bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,11.77461813800619,2351,728,3079
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155517.txt,2026-06-16 15:55:17,gpt-4o,v2,1137843100,0.92,False,Dead-end: true paper waste waste2 was placed into general bin.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,15.621425667995936,3927,1219,5146
wastesorting,scene_05,scripts/baseline/logs/waste/scene_05/knowno_wastesorting_20260616_155536.txt,2026-06-16 15:55:36,gpt-4o,v2,348572004,0.92,True,success,10,10,2,8,0,0,5.0,5.0,1.2,2.0,21.304305060009938,7889,2473,10362
