domain,condition,scene,iteration,seed,threshold,random_query_prob
tomato,ours-what-only,4,9,2387734993,0.8,0.4
tomato,ours,4,9,2387734993,0.8,0.4
tomato,random,4,10,321661848,0.8,0.4
tomato,ours-when-only,4,10,321661848,0.8,0.4
tomato,ours-what-only,4,10,321661848,0.8,0.4
tomato,ours,4,10,321661848,0.8,0.4
tomato,random,4,11,2993320002,0.8,0.4
tomato,ours-when-only,4,11,2993320002,0.8,0.4
tomato,ours-what-only,4,11,2993320002,0.8,0.4
tomato,ours,4,11,2993320002,0.8,0.4
tomato,random,4,12,1109362184,0.8,0.4
tomato,ours-when-only,4,12,1109362184,0.8,0.4
tomato,ours-what-only,4,12,1109362184,0.8,0.4
tomato,ours,4,12,1109362184,0.8,0.4
tomato,random,4,13,3815955531,0.8,0.4
tomato,ours-when-only,4,13,3815955531,0.8,0.4
tomato,ours-what-only,4,13,3815955531,0.8,0.4
tomato,ours,4,13,3815955531,0.8,0.4
tomato,random,4,14,2941533860,0.8,0.4
tomato,ours-when-only,4,14,2941533860,0.8,0.4
tomato,ours-what-only,4,14,2941533860,0.8,0.4
tomato,ours,4,14,2941533860,0.8,0.4
tomato,random,4,15,2020323328,0.8,0.4
tomato,ours-when-only,4,15,2020323328,0.8,0.4
tomato,ours-what-only,4,15,2020323328,0.8,0.4
tomato,ours,4,15,2020323328,0.8,0.4
tomato,random,4,16,3712541616,0.8,0.4
tomato,ours-when-only,4,16,3712541616,0.8,0.4
