figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,all,All,tomato,Tomato,200,10.978276,2.115800,26.185100,4.862696,10.978276
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,no,No,waste,Waste,200,29.130536,1.552300,36.262500,12.171214,29.130536
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,no,No,tomato,Tomato,200,3.269824,1.090700,26.346600,3.019743,3.269824
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,random,Random,waste,Waste,200,2.999595,0.886700,9.908400,1.414562,2.999595
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,random,Random,tomato,Tomato,200,4.276261,0.972700,28.678700,3.458386,4.276261
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,knowno_gpt4,KnowNo,waste,Waste,200,23.682508,4.017311,207.740201,24.274093,23.682508
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,knowno_gpt4,KnowNo,tomato,Tomato,200,43.172954,4.512035,1760.600285,124.743632,43.172954
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,ours,Ours,waste,Waste,200,5.289892,1.513600,10.947000,1.371192,5.289892
policy_compare_total_elapsed_time,elapsed_time,Elapsed Time,ours,Ours,tomato,Tomato,200,55.954377,1.976200,2757.350800,293.339283,55.954377
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,all,All,waste,Waste,195,5.669430,4.353600,12.463500,1.199464,5.669430
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,all,All,tomato,Tomato,163,11.454046,6.658300,25.910000,3.777206,11.454046
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,no,No,waste,Waste,27,5.784826,4.471100,9.176700,1.079512,5.784826
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,no,No,tomato,Tomato,3,7.315267,6.379600,7.875400,0.815551,7.315267
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,random,Random,waste,Waste,180,3.056141,1.688600,9.908400,1.369069,3.056141
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,random,Random,tomato,Tomato,20,7.857150,6.098500,9.686400,1.104876,7.857150
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,knowno_gpt4,KnowNo,waste,Waste,77,27.896587,14.469212,77.105407,11.375104,27.896587
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,knowno_gpt4,KnowNo,tomato,Tomato,84,64.323148,24.660375,1760.600285,189.261156,64.323148
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,ours,Ours,waste,Waste,183,5.515856,4.316400,10.947000,1.155992,5.515856
policy_compare_total_elapsed_time_success_only,elapsed_time_success_only,Elapsed Time,ours,Ours,tomato,Tomato,169,64.737823,6.220800,2757.350800,318.461211,64.737823
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,all,All,waste,Waste,5,2.577680,1.518000,4.868800,1.502146,2.577680
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,all,All,tomato,Tomato,37,8.882314,2.115800,26.185100,7.808075,8.882314
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,no,No,waste,Waste,173,32.774086,1.552300,36.262500,8.503420,32.774086
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,no,No,tomato,Tomato,197,3.208218,1.090700,26.346600,2.999554,3.208218
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,random,Random,waste,Waste,20,2.490680,0.886700,6.555900,1.731016,2.490680
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,random,Random,tomato,Tomato,180,3.878384,0.972700,28.678700,3.402252,3.878384
